Improvements	group
12.7	unrestricted
15.1	unrestricted
6	unrestricted
11.3	unrestricted
19.2	unrestricted
23.5	unrestricted
14	unrestricted
11.3	unrestricted
3.4	unrestricted
-1.9	unrestricted
4.5	unrestricted
25.1	unrestricted
20.2	unrestricted
10.3	unrestricted
8.3	unrestricted
8.3	unrestricted
22.5	unrestricted
9.8	unrestricted
25.1	unrestricted
19	unrestricted
25.5	unrestricted
3.8	unrestricted
12.6	unrestricted
3.7	unrestricted
18.5	unrestricted
13.7	unrestricted
9.7	unrestricted
27.1	unrestricted
14.8	unrestricted
22.5	unrestricted
20.3	unrestricted
4.7	unrestricted
6.4	unrestricted
13	unrestricted
1.2	unrestricted
19.1	deprived
17.5	deprived
3.3	deprived
20	deprived
4.8	deprived
25.2	deprived
13.2	deprived
3.1	deprived
-0.7	deprived
-4.1	deprived
-3.1	deprived
-8	deprived
19.2	deprived
15.9	deprived
5.3	deprived
10.3	deprived
3.8	deprived
32	deprived
-0.4	deprived
7	deprived
10.1	deprived
13.8	deprived
5.9	deprived
-14.6	deprived
-5	deprived
11.2	deprived
7.5	deprived
-1.8	deprived
6.4	deprived
-0.6	deprived
10	deprived
-6.7	deprived
11.2	deprived
10.1	deprived
8.2	deprived
